Team,Match Day,Estadistica,Distance (m),"Speed Zones (m) [0.0, 6.0]km/h (m)",Abs HSR(m),Sprint Abs (m),Sprint Rel (m),Explosive Dist (m),Max Acceleration,Accelerations,Decelerations,Dif. ACC/DEC,Step Balance (%),Total impacts,Distance (m) diff,"Speed Zones (m) [0.0, 6.0]km/h (m) diff",Abs HSR(m) diff,Sprint Abs (m) diff,Sprint Rel (m) diff,Explosive Dist (m) diff,Max Acceleration diff,Accelerations diff,Decelerations diff,Dif. ACC/DEC diff,Step Balance (%) diff,Total impacts diff
Sporting de Gijón,-3 MD,mean,5337.710616454451,1986.128267758854,273.09967639186556,106.95260679585547,1.74030478433529,630.14766379302,4.597634557722089,2271.25,2287.0746753246754,1.0194805194805194,0.0028336787924339983,10247.464285714286,65.63,66.25,64.22,58.44,65.8,67.04,93.71,98.92,99.2,-9.71,48.37,65.26
Sporting de Gijón,-3 MD,median,5488.4053827906155,2009.82800292969,256.7324219278815,88.84449684655729,0.0,640.293414374814,4.5677905592452746,2293.5,2318.0,0.0,0.0018739717911272049,10347.0,59.45,61.41,64.09,53.62,,60.89,94.13,95.76,96.32,-0.0,33.59,58.05
Sporting de Gijón,-3 MD,max,7750.58299852967,3144.9296875,736.34798478045,489.370915714701,43.1623677348072,1116.86815161737,6.32493694397536,3010.0,3030.0,43.0,0.101840868631949,17279.0,54.51,47.22,65.68,68.13,75.0,61.95,80.71,80.18,80.78,138.71,119.66,56.59
Sporting de Gijón,-3 MD,min,1255.48976230139,478.823059082031,7.75503253240246,0.0,0.0,154.236283461861,3.51287887002081,565.0,564.0,-26.0,-0.0638008832850832,1359.0,94.17,163.58,52.82,,,85.94,115.4,271.63,268.57,35.62,115.81,
Sporting de Gijón,-3 MD,p75,6092.77482522501,2249.30395507813,377.555902481197,139.729150691733,0.0,715.120298489398,4.9680932377926,2535.0,2552.0,8.0,0.0158609211841434,11813.0,55.55,55.7,62.49,54.44,,57.32,94.76,79.72,79.82,-800.0,87.56,56.6
Sporting de Gijón,-3 MD,p90,6628.79607395074,2408.02124023438,470.707854226372,212.067193446843,0.0,788.928691832168,5.30527798164173,2700.0,2711.0,17.0,0.0332114165708129,12960.0,55.63,54.51,61.7,61.56,0.0,55.94,89.18,80.41,80.28,283.33,100.7,52.94
Sporting de Gijón,-3 MD,p95,6966.63840397821,2582.53247070313,555.987530850379,285.008581602003,14.5786621430229,830.326479984685,5.54306810063244,2777.0,2799.0,24.0,0.0390486245134764,14099.0,57.43,55.15,63.61,66.89,68.39,56.79,86.36,80.47,80.76,171.43,100.73,53.3
Sporting de Gijón,-4 MD,mean,6140.155838475556,2269.5723779795144,336.320589918909,124.7596612126033,0.8000170049986991,740.4519561333046,4.544247633315066,2523.0285714285715,2537.7020408163266,-0.036734693877551024,0.003348998022661221,11981.032653061224,75.49,75.71,79.09,68.17,30.25,78.78,92.63,109.88,110.07,0.35,57.16,76.3
Sporting de Gijón,-4 MD,median,6139.16929757089,2227.72265625,342.524466712521,107.714762729121,0.0,741.642610437091,4.4881986899408,2544.0,2556.0,0.0,0.00343416712938704,11976.0,66.49,68.07,85.5,65.01,,70.53,92.49,106.22,106.21,-0.0,61.55,67.19
Sporting de Gijón,-4 MD,max,8410.76540985616,3407.11645507813,692.994883056493,362.307696743249,38.3699690612586,1107.13686663221,6.10215074937753,3488.0,3522.0,50.0,0.0629405373278171,17628.0,59.15,51.16,61.81,50.44,66.67,61.41,77.86,92.91,93.89,161.29,73.95,57.73
Sporting de Gijón,-4 MD,min,1162.41007918246,553.055603027344,64.1176065265071,0.0,0.0,163.33740332612,2.84656969184427,676.0,680.0,-45.0,-0.0573356558113801,2920.0,87.19,188.94,436.72,,,91.01,93.51,325.0,323.81,61.64,104.07,
Sporting de Gijón,-4 MD,p75,6778.67947142196,2482.736328125,425.143680652954,177.850082628419,0.0,836.84190753144,4.838316647292,2739.0,2757.0,8.0,0.0166229694146666,13272.0,61.81,61.48,70.36,69.29,,67.08,92.28,86.13,86.24,-800.0,91.77,63.59
Sporting de Gijón,-4 MD,p90,7290.54467172621,2805.0791015625,512.923995147583,239.233885298726,0.0,915.204584816268,5.19608568713722,2881.0,2905.0,17.0,0.0297303109078336,14713.0,61.19,63.5,67.23,69.45,0.0,64.9,87.35,85.8,86.02,283.33,90.14,60.1
Sporting de Gijón,-4 MD,p95,7631.25108741433,2984.08447265625,576.083357687993,290.889618063432,0.0,949.295505680951,5.43672131393293,3032.0,3053.0,23.0,0.0385479323505881,15771.0,62.91,63.72,65.91,68.27,0.0,64.93,84.71,87.86,88.08,164.29,99.44,59.62
Sporting de Gijón,-1 MD,mean,3007.979007446554,1343.9901893076285,66.30985629336845,20.39857783952587,0.058714021965577776,351.7105999159836,4.3364404387324464,1752.1464646464647,1762.1060606060605,1.3257575757575757,0.004981680915210397,6272.270202020202,36.98,44.83,15.59,11.15,2.22,37.42,88.39,76.31,76.43,-12.62,85.03,39.94
Sporting de Gijón,-1 MD,median,2963.254582387665,1336.509643554685,55.718551539521,12.1171981594473,0.0,353.667551839865,4.302986154351575,1643.0,1651.0,1.0,0.003492484614129975,6120.5,32.1,40.84,13.91,7.31,,33.63,88.68,68.6,68.61,-12.5,62.6,34.34
Sporting de Gijón,-1 MD,max,4443.07533260405,1955.2099609375,381.444471321627,171.432531400685,11.9875930703935,585.305373319533,6.41378350631155,2548.0,2574.0,38.0,0.0915661530613079,10912.0,31.25,29.36,34.02,23.87,20.83,32.46,81.84,67.87,68.62,122.58,107.59,35.74
Sporting de Gijón,-1 MD,min,827.463840757857,461.60791015625,0.0,0.0,0.0,20.8198586925494,0.0,787.0,788.0,-31.0,-0.0749973299781282,0.0,62.06,157.7,0.0,,,11.6,0.0,378.37,375.24,42.47,136.13,
Sporting de Gijón,-1 MD,p75,3345.17744779838,1512.97619628906,89.6942971339964,29.7123015843961,0.0,401.508783920658,4.68464215897552,1984.0,2000.0,7.0,0.022214151262555,7220.0,30.5,37.47,14.85,11.58,,32.18,89.35,62.39,62.56,-700.0,122.63,34.59
Sporting de Gijón,-1 MD,p90,3717.95682811551,1628.15417480469,124.383881020128,52.5302702579019,0.0,443.459684169998,5.04443180882168,2200.0,2206.0,13.0,0.0404194890119282,7916.0,31.2,36.86,16.3,15.25,0.0,31.45,84.8,65.52,65.32,216.67,122.55,32.33
Sporting de Gijón,-1 MD,p95,3873.94897864829,1703.22375488281,158.04662912987,69.720332484231,0.0,484.155756480944,5.25401086267398,2308.0,2321.0,15.0,0.0517552731138386,8284.0,31.94,36.37,18.08,16.36,0.0,33.11,81.86,66.88,66.96,107.14,133.51,31.31
Sporting de Gijón,MD,mean,8133.342606547511,2997.7604127708064,425.23505166857507,183.00242707333996,2.6448274166795995,939.949564543736,4.906001872013595,2296.095744680851,2305.5248226950353,-10.50354609929078,0.005858709065442571,15702.91489361702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,MD,median,9232.532857757069,3272.54370117188,400.6107368989325,165.686661696877,0.0,1051.49493856168,4.85240109728944,2395.0,2406.5,-8.0,0.00557913515679812,17825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,MD,max,14218.8413043874,6660.0205078125,1121.142677214,718.304398202408,57.5525148200622,1802.93007076233,7.8368603385458,3754.0,3751.0,31.0,0.0851098176020046,30535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,MD,min,1333.23415135498,292.716369628906,14.6817026513949,0.0,0.0,179.474876112313,3.04412873305054,208.0,210.0,-73.0,-0.055090966729104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,MD,p75,10967.5907944056,4038.08984375,604.200732603322,256.679384146443,0.0,1247.51773226535,5.24286634041003,3180.0,3197.0,-1.0,0.0181145870235696,20872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,MD,p90,11915.3445558019,4417.71728515625,762.90173831767,344.472751581236,10.5239771634396,1410.25788529666,5.94880061569037,3358.0,3377.0,6.0,0.0329813389251887,24482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,MD,p95,12130.5734781021,4682.83349609375,874.011740499202,426.059554128842,21.3181775022055,1462.04530603859,6.41820307657976,3451.0,3466.0,14.0,0.0387650352061577,26454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,-5 MD,mean,5106.0886820086735,2125.2740098741338,148.92121730218196,54.41732598394789,0.0,629.9732950445343,4.441433963004545,2272.177777777778,2286.488888888889,6.066666666666666,0.0033329923116526927,9984.8,62.78,70.9,35.02,29.74,0.0,67.02,90.53,98.96,99.17,-57.76,56.89,63.59
Sporting de Gijón,-5 MD,median,4901.19734673722,2058.99096679688,123.362978792456,39.524966335829,0.0,621.620017985316,4.38545476707948,2526.0,2559.0,6.0,0.00330335075079096,10153.0,53.09,62.92,30.79,23.86,,59.12,90.38,105.47,106.34,-75.0,59.21,56.96
Sporting de Gijón,-5 MD,max,6862.36987492007,3188.60620117188,348.616247270041,170.626007891397,0.0,922.349238733443,5.49896898895803,3121.0,3122.0,48.0,0.0513318239550357,14206.0,48.26,47.88,31.09,23.75,0.0,51.16,70.17,83.14,83.23,154.84,60.31,46.52
Sporting de Gijón,-5 MD,min,3741.84596480183,1384.30102539063,18.0081306141549,0.0,0.0,379.352913338725,3.41595108561244,1272.0,1280.0,-21.0,-0.0488073509168053,1468.0,280.66,472.92,122.66,,,211.37,112.21,611.54,609.52,28.77,88.59,
Sporting de Gijón,-5 MD,p75,5668.51542203876,2391.43969726563,211.579633934389,88.2460085210482,0.0,684.237089802819,4.74492830810723,2780.0,2795.0,15.0,0.0274114018922846,11543.0,51.68,59.22,35.02,34.38,,54.85,90.5,87.42,87.43,-1500.0,151.32,55.3
Sporting de Gijón,-5 MD,p90,6330.84391233756,2713.24389648438,278.148405330905,110.829304905061,0.0,789.280171514816,5.22053030454351,2840.0,2860.0,25.0,0.0396001095944687,12652.0,53.13,61.42,36.46,32.17,0.0,55.97,87.76,84.57,84.69,416.67,120.07,51.68
Sporting de Gijón,-5 MD,p95,6574.7059679817,2771.359375,292.513223487887,125.224939509999,0.0,853.498181350755,5.41801353013427,2886.0,2881.0,34.0,0.0429785894483522,13226.0,54.2,59.18,33.47,29.39,0.0,58.38,84.42,83.63,83.12,242.86,110.87,50.0
Sporting de Gijón,>-5 MD,mean,4339.859228037188,1686.5460432185696,87.8418476574596,24.521561663055017,0.0,565.1993297081826,4.447863823882628,1771.0232558139535,1781.6046511627908,1.4651162790697674,0.00439421655387244,8875.488372093023,53.36,56.26,20.66,13.4,0.0,60.13,90.66,77.13,77.28,-13.95,75.0,56.52
Sporting de Gijón,>-5 MD,median,4265.2430813654,1627.0830078125,60.5776429514983,15.6316073966847,0.0,546.954381585145,4.49949924090896,1469.0,1495.0,2.0,0.00106413671544218,8762.0,46.2,49.72,15.12,9.43,,52.02,92.73,61.34,62.12,-25.0,19.07,49.16
Sporting de Gijón,>-5 MD,max,6229.58963608053,2452.28198242188,276.878309340189,91.4840418491238,0.0,810.379321509724,5.67271446081676,2470.0,2494.0,42.0,0.0637347201856159,12381.0,43.81,36.82,24.7,12.74,0.0,44.95,72.39,65.8,66.49,135.48,74.89,40.55
Sporting de Gijón,>-5 MD,min,2435.35673514885,1147.89819335938,0.0,0.0,0.0,323.03844977822,2.93038708142159,1281.0,1277.0,-34.0,-0.0421817165566656,5241.0,182.67,392.15,0.0,,,179.99,96.26,615.87,608.1,46.58,76.57,
Sporting de Gijón,>-5 MD,p75,4533.96127274431,1780.21508789063,113.962540495441,31.7704197543397,0.0,646.624007382227,4.94134266669501,2290.0,2303.0,10.0,0.0249480254760738,10052.0,41.34,44.09,18.86,12.38,,51.83,94.25,72.01,72.04,-1000.0,137.72,48.16
Sporting de Gijón,>-5 MD,p90,5441.09356772475,2160.4931640625,211.209377963339,73.4745559806278,0.0,687.036791610649,5.27459203569777,2372.0,2404.0,18.0,0.0342247741014154,10975.0,45.66,48.91,27.69,21.33,0.0,48.72,88.67,70.64,71.19,300.0,103.77,44.83
Sporting de Gijón,>-5 MD,p95,5686.60753231872,2264.44482421875,227.483635136954,88.0142082874852,0.0,714.819012644004,5.38530303673311,2444.0,2475.0,26.0,0.0516135557160476,11270.0,46.88,48.36,26.03,20.66,0.0,48.89,83.91,70.82,71.41,185.71,133.14,42.6
Sporting de Gijón,-2 MD,mean,2706.4451088250885,1535.967563807018,37.30535855024046,11.619392895533755,0.08853050824248816,267.7618809372555,4.028925786355424,1910.7449856733524,1923.5759312320918,3.822349570200573,0.0025735316943154307,5721.521489971346,33.28,51.24,8.77,6.35,3.35,28.49,82.12,83.22,83.43,-36.39,43.93,36.44
Sporting de Gijón,-2 MD,median,2695.11189210424,1548.24877929688,17.5870545440196,0.0,0.0,259.225214567138,4.04499171809716,1898.0,1921.0,3.0,0.0013725895977029702,5778.0,29.19,47.31,4.39,0.0,,24.65,83.36,79.25,79.83,-37.5,24.6,32.42
Sporting de Gijón,-2 MD,max,5269.128743581,2719.06323242188,221.73884310201,147.461781039642,21.6484515631061,649.479256658258,6.4890698092654,2681.0,2701.0,40.0,0.132780866125891,10498.0,37.06,40.83,19.78,20.53,37.62,36.02,82.8,71.42,72.01,129.03,156.01,34.38
Sporting de Gijón,-2 MD,min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-0.130717952173843,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,24.66,237.28,
Sporting de Gijón,-2 MD,p75,3079.58829940886,1723.21130371094,54.2013974398883,16.642728874705,0.0,319.595848018323,4.44010937454725,2078.0,2093.0,8.0,0.0214869353698924,6660.0,28.08,42.67,8.97,6.48,,25.62,84.69,65.35,65.47,-800.0,118.62,31.91
Sporting de Gijón,-2 MD,p90,3536.09413292344,1921.42211914063,108.799182003008,39.1870375596549,0.0,380.585613436422,4.87542084070167,2449.0,2470.0,15.0,0.0411065327330086,7397.0,29.68,43.49,14.26,11.38,0.0,26.99,81.96,72.93,73.14,250.0,124.64,30.21
Sporting de Gijón,-2 MD,p95,3987.89093560396,2067.92504882813,153.168506038641,59.5846325830225,0.0,454.881427485352,5.14769783124378,2576.0,2576.0,19.0,0.0566483612953817,8177.0,32.87,44.16,17.52,13.99,0.0,31.11,80.2,74.65,74.32,135.71,146.13,30.91
Sporting de Gijón,+2 MD,mean,4385.968776409901,1691.6521677117614,156.1930026653595,66.91836232431311,0.6516521009847744,543.8325122662087,4.358317421677607,1612.4526315789474,1619.5894736842106,2.8947368421052633,0.0033501431357894325,9060.273684210526,53.93,56.43,36.73,36.57,24.64,57.86,88.84,70.23,70.25,-27.56,57.18,57.7
Sporting de Gijón,+2 MD,median,4528.06449046724,1759.65466308594,81.0585670661478,26.9546498557239,0.0,551.26140633672,4.42005492521053,1659.0,1658.0,2.0,0.00488915849635419,9165.0,49.04,53.77,20.23,16.27,,52.43,91.09,69.27,68.9,-25.0,87.63,51.42
Sporting de Gijón,+2 MD,max,6096.20840335803,2233.7626953125,778.84195592383,455.951838283644,24.7834525599707,951.141031334913,5.82415397677207,2560.0,2557.0,36.0,0.0844245111486561,13884.0,42.87,33.54,69.47,63.48,43.06,52.76,74.32,68.19,68.17,116.13,99.19,45.47
Sporting de Gijón,+2 MD,min,2680.6348023863,962.552062988281,0.0,0.0,0.0,186.265323225869,2.85289982202077,810.0,804.0,-34.0,-0.0607428088559738,3688.0,201.06,328.83,0.0,,,103.78,93.72,389.42,382.86,46.58,110.26,
Sporting de Gijón,+2 MD,p75,5001.56669269938,1952.58728027344,173.438826037958,83.0663832927909,0.0,641.603276005481,4.74493255719592,1877.0,1882.0,10.0,0.0200533844561748,10131.0,45.6,48.35,28.71,32.36,,51.43,90.5,59.03,58.87,-1000.0,110.7,48.54
Sporting de Gijón,+2 MD,p90,5313.12657167424,2058.07690429688,525.125928465752,152.960888229837,0.0,703.356458417528,5.06287882825742,1955.0,1970.0,21.0,0.0366044147793529,11127.0,44.59,46.59,68.83,44.4,0.0,49.87,85.11,58.22,58.34,350.0,110.99,45.45
Sporting de Gijón,+2 MD,p95,5500.41531006657,2099.35034179688,594.838591720577,364.007998072111,0.0,732.069749319019,5.20180943864163,2079.0,2107.0,23.0,0.0483226493732222,11566.0,45.34,44.83,68.06,85.44,0.0,50.07,81.05,60.24,60.79,164.29,124.66,43.72
Sporting de Gijón,No MD,mean,4244.197260894848,1657.4421492688277,189.21968230216137,64.98053333470612,1.302454415118276,466.4830889488002,4.2946422636724,1838.5464333781965,1848.5248990578734,1.9448183041722746,0.006641665274306248,8598.939434724092,52.18,55.29,44.5,35.51,49.25,49.63,87.54,80.07,80.18,-18.52,113.36,54.76
Sporting de Gijón,No MD,median,4020.8350660789,1581.66467285156,119.953104938379,29.8930029327954,0.0,454.233878662125,4.30956234898331,1790.0,1799.0,2.0,0.00588025065365704,8170.0,43.55,48.33,29.94,18.04,,43.2,88.81,74.74,74.76,-25.0,105.4,45.83
Sporting de Gijón,No MD,max,13342.8340522917,4256.298828125,856.459471868134,531.557443648863,54.0227142863388,1530.52817972368,9.48592170701371,3553.0,3605.0,43.0,0.120036840028703,33465.0,93.84,63.91,76.39,74.0,93.87,84.89,121.04,94.65,96.11,138.71,141.04,109.6
Sporting de Gijón,No MD,min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-0.138243084427874,1070.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,68.49,250.94,
Sporting de Gijón,No MD,p75,4867.01175860339,1959.04089355469,278.812538521363,88.6714831987777,0.0,586.734332397919,4.67819444747385,2151.0,2156.0,9.0,0.024882640469224,10061.0,44.38,48.51,46.15,34.55,,47.03,89.23,67.64,67.44,-900.0,137.36,48.2
Sporting de Gijón,No MD,p90,6765.99768628831,2370.451171875,489.067705348694,188.989850055093,0.0,738.462129186202,5.07742841235718,2506.0,2513.0,16.0,0.0442346542488013,13489.0,56.78,53.66,64.11,54.86,0.0,52.36,85.35,74.63,74.42,266.67,134.12,55.1
Sporting de Gijón,No MD,p95,8359.7025238097,2850.119140625,635.341559157372,258.824709966022,12.7974634049077,896.019090582225,5.32386768947948,2680.0,2703.0,20.0,0.0538647829474039,16968.0,68.91,60.86,72.69,60.75,60.03,61.29,82.95,77.66,77.99,142.86,138.95,64.14
Sporting de Gijón,+1 MD,mean,3906.393456664113,1649.733229042828,166.13858781254382,57.674271878819624,0.6576361632042416,496.89697741116197,4.392286369254658,1678.6811594202898,1686.951690821256,5.241545893719807,0.00020574818308487396,8401.304347826086,48.03,55.03,39.07,31.52,24.86,52.86,89.53,73.11,73.17,-49.9,3.51,53.5
Sporting de Gijón,+1 MD,median,4197.70737458546,1767.0107421875,102.388737122989,36.4109533342738,0.0,554.555830183887,4.55105625118069,1807.0,1815.0,3.0,0.0010590231989556012,9137.0,45.47,54.0,25.56,21.98,,52.74,93.79,75.45,75.42,-37.5,18.98,51.26
Sporting de Gijón,+1 MD,max,5716.24570473396,2491.41552734375,634.719119103678,396.773984384981,44.4252195569942,911.759484295498,7.13313990921685,2294.0,2317.0,46.0,0.0781727909919448,13736.0,40.2,37.41,56.61,55.24,77.19,50.57,91.02,61.11,61.77,148.39,91.85,44.98
Sporting de Gijón,+1 MD,min,994.323171134927,373.812896728516,0.0,0.0,0.0,26.9633392038958,1.51585435526138,564.0,572.0,-23.0,-0.0747560040749067,1608.0,74.58,127.7,0.0,,,15.02,49.8,271.15,272.38,31.51,135.7,
Sporting de Gijón,+1 MD,p75,4673.77009313338,1971.97570800781,271.791001394114,65.5179534783992,0.0,652.860401266583,4.95579970480015,1972.0,1985.0,12.0,0.0151845369623359,10180.0,42.61,48.83,44.98,25.53,,52.33,94.52,62.01,62.09,-1200.0,83.82,48.77
Sporting de Gijón,+1 MD,p90,5125.34557670979,2142.6943359375,436.055937060077,144.965428221549,0.0,710.936131192197,5.38146443690115,2054.0,2064.0,19.0,0.027541326574227,11284.0,43.01,48.5,57.16,42.08,0.0,50.41,90.46,61.17,61.12,316.67,83.51,46.09
Sporting de Gijón,+1 MD,p95,5237.47082982287,2221.72216796875,481.621645799733,294.445710470489,0.0,752.041264278301,5.70414984216193,2156.0,2175.0,24.0,0.0355780545231918,12043.0,43.18,47.44,55.1,69.11,0.0,51.44,88.87,62.47,62.75,171.43,91.78,45.52
